"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shipping Country","Shipping Country"
"Shipping Street","Shipping Street"
"Shipping City","Shipping City"
"Location Group (Shipping Zone)","Location Group (Shipping Zone)"
"Please choose a condition to add.","Please choose a condition to add."
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
"Cart Item SKU (including custom options SKUs)","Cart Item SKU (including custom options SKUs)"
"Conditions Combination","Conditions Combination"
"Cart Item Attribute","Cart Item Attribute"
"Product Attribute","Product Attribute"
FOUND,FOUND
"NOT FOUND","NOT FOUND"
"total quantity","total quantity"
"total amount","total amount"
is,is
"is not","is not"
"greater than","greater than"
"less than","less than"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"is one of","is one of"
"is not one of","is not one of"
"Could not save the rule: %1","Could not save the rule: %1"
"Rule with id ""%1"" does not exist.","Rule with id ""%1"" does not exist."
"Could not delete the rule: %1","Could not delete the rule: %1"
"Location Group name is required","Location Group name is required"
"Address Attribute","Address Attribute"
"Could not save the zone: %1","Could not save the zone: %1"
"Zone with id ""%1"" does not exist.","Zone with id ""%1"" does not exist."
"Could not delete the zone: %1","Could not delete the zone: %1"
"Empty or invalid rule","Empty or invalid rule"
"Empty method code","Empty method code"
"Empty calculator","Empty calculator"
"Empty action code","Empty action code"
"Table name is required","Table name is required"
Edit,Edit
Delete,Delete
"Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
"Are you sure you wan't to delete the carrier ""${ $.$data.name }"" ?","Are you sure you wan't to delete the carrier ""${ $.$data.name }"" ?"
"Are you sure you wan't to delete the zone ""${ $.$data.name }"" ?","Are you sure you wan't to delete the zone ""${ $.$data.name }"" ?"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete the method ""${ $.$data.title }"" ?","Are you sure you wan't to delete the method ""${ $.$data.title }"" ?"
"Are you sure you wan't to delete the rate ""${ $.$data.title }"" ?","Are you sure you wan't to delete the rate ""${ $.$data.title }"" ?"
"Are you sure you wan't to delete the region ""${ $.$data.name }"" ?","Are you sure you wan't to delete the region ""${ $.$data.name }"" ?"
"Are you sure you wan't to delete the rule ""${ $.$data.name }"" ?","Are you sure you wan't to delete the rule ""${ $.$data.name }"" ?"
%1,%1
Id,Id
"Default Title","Default Title"
"Is Active","Is Active"
"System Name","System Name"
"Carrier Code","Carrier Code"
Price,Price
"Shipping methods available on the checkout.","Shipping methods available on the checkout."
"Add Method","Add Method"
Remove,Remove
"Method Code","Method Code"
Cost,Cost
"Zone Id","Zone Id"
Carrier,Carrier
"Rates for the Current Method","Rates for the Current Method"
"Add New Rate","Add New Rate"
Method,Method
Import,Import
Export,Export
"Export Example Data","Export Example Data"
"Time Range: ","Time Range: "
"Save Changes","Save Changes"
"Shipping Zone","Shipping Zone"
Country,Country
Region,Region
State/Province,State/Province
"MageWorx Shipping","MageWorx Shipping"
Enabled,Enabled
"Method Name","Method Name"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Sort Order","Sort Order"
"Ship to Applicable Countries","Ship to Applicable Countries"
